,Dealer_Code,Oct_2324_sales,Nov_2324_sales,Dec_2324_sales,Jan_2324_sales,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target,Category_Overall,Dealer_Name,dealer_district,dealer_taluka,dealer_type,population,taluka_population,market_potential,MarketSizePer1000,AVG_SALES,sales_by_counter_3M,counter_market_ratio,NORM_counter_market_ratio,NORM_sales_by_counter_3M,AVG_SALES-N,MarketSizePer1000_N,Code,Dealer Name,CS,AP,MP,Status,MPA,SOB,AP_normalized,Score,Tier,Incentive_per_Ton_linear,Incentive_per_Ton_exponential,Final_Incentive,Perfomance_Bonus,Predicted_Incentive
153,SIPA373,25.0,1.0,1.0,1.0,1.0,1.0,1,41.0,21.0,21.0,30.0,28.0,30,40,50,40,25,25,LHHHHH,NANNAA,Moderate Achievement,31,Emerging Performer,S S Enterprises,East Godavari,Tapeswaram,Exclusive,8274560.0,7411.0,750.0,0.09063926057699745,19.5,0.3333333333333333,0.050666666666666665,5.5925946639239494e-05,0.023244518456841515,0.08222222222222222,2.2629602064227467e-07,SIPA373,S S Enterprises,38.7,24,750.0,Exclusive,5.160000000000001,62.01550387596899,10.7981220657277,19.91397401463042,Tier 3,1667.0,1323.0,1323.0,0.0,41010.0
154,SIPA375,12.0,12.0,1.0,6.0,1.0,24.0,15,13.0,20.0,12.0,1.0,13.0,12,12,15,15,10,10,HHHLLL,AAANNA,Moderate Achievement,18,Target-Oriented Performer,PARAMESWARI TRADERS,Guntur,Gullapalli,Non-Exclusive,6629265.0,1.0,70.0,0.010559239976075779,15.666666666666666,0.1780821917808219,0.5142857142857142,0.0005710584125613168,0.012412918204895209,0.06518518518518518,2.609596907948386e-08,SIPA375,Parameswari Traders,38.2,12,70.0,Non-Exclusive,54.57142857142857,31.413612565445025,5.164319248826291,20.295599776670496,Tier 3,1667.0,1323.0,1323.0,0.0,23810.0
155,SIPA377,20.0,1.0,1.0,17.0,1.0,16.0,1,20.0,1.0,13.0,15.0,14.0,12,12,12,12,10,10,LHLHHH,NANAAA,Moderate Achievement,16,Consistently Strong Performer,RENUKA STEEL AND CEMENT,Chittoor,MULAKALACHERUVU,Non-Exclusive,6588204.0,53772.0,75.0,0.011383982645346137,12.0,0.208955223880597,0.4533333333333333,0.0005033335197531554,0.014566875585989009,0.048888888888888885,2.8157825753282702e-08,SIPA377,Renuka Steel And Cement,30.9,11,75.0,Non-Exclusive,41.199999999999996,35.59870550161812,4.694835680751173,18.17664250877433,Tier 3,1667.0,1323.0,1323.0,0.0,21170.0
156,SIPA378,13.0,12.0,12.0,13.0,13.0,1.0,12,12.0,13.0,1.0,12.0,13.0,10,12,12,12,10,10,HHHLHH,AAANAA,High Achievement,16,Consistently Strong Performer,SRI RAGAVENDRA TRADERS,Prakasam,ULAVAPADU,Non-Exclusive,5954328.0,53918.0,60.0,0.010076703869857354,10.666666666666666,0.18571428571428572,0.5,0.000555185390809404,0.012945396032406856,0.04296296296296296,2.4889628813573323e-08,SIPA378,Sri Ragavendra Traders,30.3,10,60.0,Non-Exclusive,50.5,33.003300330033,4.225352112676056,19.235871333612234,Tier 3,1667.0,1323.0,1323.0,0.0,21170.0
157,SIPA379,33.0,19.0,1.0,1.0,12.0,14.0,16,15.0,1.0,1.0,1.0,1.0,15,15,15,15,20,20,HHLLLL,AANNNN,Low Achievement,18,Consistently Weak Performer,SRI GURU LAKSHMI NARAYANA TRADERS,Kurnool,KOLAKUNTLA,Non-Exclusive,6203936.0,1.0,60.0,0.009671279652143414,13.833333333333334,0.015873015873015872,0.2833333333333333,0.0003144445609053929,0.0010958680817132107,0.05703703703703704,2.3876068268982244e-08,SIPA379,Sri Guru Lakshmi Narayana Traders,25.4,5,60.0,Non-Exclusive,42.33333333333333,19.68503937007874,1.8779342723004695,13.530435104062697,Tier 5,1333.0,952.0,952.0,0.0,17140.0
158,SIPA381,1.0,12.0,1.0,1.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1.0,5,12,12,12,10,10,LHHLLL,NNNNNN,No Achievement,0,Consistently Weak Performer,M S TRADERS,Anantapur,PARIGI,Non-Exclusive,6321948.0,70839.0,35.0,0.005536268251494635,4.166666666666667,0.034482758620689655,0.45714285714285713,0.0005075663255536655,0.002394237241634525,0.014074074074074076,1.3538539764237007e-08,SIPA381,M S Traders,12.4,2,35.0,Non-Exclusive,35.42857142857143,16.129032258064516,0.4694835680751174,10.59321087817226,Tier 5,1333.0,952.0,952.0,0.0,0.0
159,SIPA382,1.0,12.0,1.0,1.0,10.0,10.0,7,1.0,1.0,11.0,9.0,20.0,10,12,15,15,10,10,HLLHHH,NNNNNA,Low Achievement,18,Emerging Performer,SRI VENKATESWARA TRADERS,Chittoor,SANTHIPURAM,Non-Exclusive,6588204.0,61789.0,100.0,0.015178643527128183,7.5,0.3225806451612903,0.3,0.0003329630862826245,0.022494322234458138,0.028888888888888888,3.764447796060403e-08,SIPA382,Sri Venkateswara Traders,32.5,8,100.0,Non-Exclusive,32.5,24.615384615384617,3.286384976525822,13.394907908992415,Tier 5,1333.0,952.0,952.0,0.0,17140.0
160,SIPA384,1.0,1.0,24.0,1.0,15.0,10.0,24,7.0,12.0,12.0,10.0,1.0,12,15,20,20,15,15,HLLHLL,ANNNNN,Low Achievement,13,Consistently Weak Performer,KUSUMA IRON AND HARDWARES,Nellore,Kavali,Non-Exclusive,4538626.0,67997.0,250.0,0.055082749713239204,5.333333333333333,0.021739130434782608,0.088,9.740744348423832e-05,0.001505136621253625,0.019259259259259257,1.3740474345602224e-07,SIPA384,Kusuma Iron And Hardwares,21.9,11,250.0,Non-Exclusive,8.76,50.228310502283115,4.694835680751173,14.61456350890733,Tier 4,1500.0,1110.0,1110.0,0.0,14430.0
161,SIPA385,12.0,14.0,1.0,1.0,13.0,11.0,1,12.0,9.0,1.0,12.0,1.0,12,12,12,12,10,10,LHHLHL,NANNAN,Low Achievement,14,Fluctuating Performer,SRI SAI ENTERPRISES,Cuddapah,SIMHADRIPURAM,Non-Exclusive,4111686.0,36545.0,50.0,0.012160461669495191,9.833333333333334,0.043478260869565216,0.2,0.00022185193401923483,0.0030218376795504544,0.03925925925925926,3.009902331424183e-08,SIPA385,Sri Sai Enterprises,12.6,6,50.0,Non-Exclusive,25.2,47.61904761904762,2.3474178403755865,15.972260228034877,Tier 4,1500.0,1110.0,1110.0,0.0,15540.0
162,SIPA386,13.0,12.0,1.0,1.0,10.0,13.0,12,1.0,11.0,1.0,13.0,13.0,10,5,10,10,10,10,HLHLHH,ANANAA,Moderate Achievement,14,Consistently Strong Performer,GIRI TRADERS,Nellore,SANGAM,Non-Exclusive,4538626.0,55433.0,50.0,0.011016549942647842,10.5,0.2653061224489796,0.66,0.0007329632344308276,0.018498379090742596,0.042222222222222223,2.7239243996259435e-08,SIPA386,Giri Traders,11.5,8,50.0,Non-Exclusive,23.0,69.56521739130434,3.286384976525822,20.48487446417636,Tier 3,1667.0,1323.0,1323.0,0.0,18520.0
