,Dealer_Code,Dealer_Name,dealer_district,dealer_type,dealer_taluka,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target_R,Percentage_PT_Dist,Category_Overall,new_market_potential,AP_12,NORM_counter_market_ratio,NORM_sales_by_counter_3M,AVG_SALES-N,MarketSizePer1000_N,Code,Dealer Name,CS,AP,MP,Status,Predicted_Target,MPA,SOB,AP_normalized,Score,Tier,Incentive_per_Ton_linear,Incentive_per_Ton_exponential,Final_Incentive,Perfomance_Bonus,Predicted_Incentive
58,SIPA135,Sri Balaji Steel Traders,Prakasam,Non-Exclusive,Singarayakonda,24,13,24,22,10,0,12,25,24,28,23,12,24,20,20,24,24,24,25,25,20,20,24,20,LHHHHL,NAAANN,Moderate Achievement,25,0.002071251035625518,Emerging Performer,189.0,25.25,0.0003678837341368327,0.0014935957759933537,0.11083039691509872,0.017337506709229,SIPA135,Sri Balaji Steel Traders,38.0,15.0,160.0,Non-Exclusive,25.0,20.105820105820104,47.68201754385966,8.751759578270244,18.808623276898096,Tier 3,1667.0,1323.0,1323.0,0.0,33080.0
59,SIPA148,Sri Sita Mahalaxmi Enterprises,Vizianagaram,Non-Exclusive,Parvathipuram,0,0,0,67,41,0,49,34,30,40,31,0,40,30,30,30,40,40,30,30,30,30,40,30,HHLHLL,AANANN,Moderate Achievement,40,0.0033140016570008283,Fluctuating Performer,525.0,205.20416666666665,0.00021347450587239197,0.0021409727305168897,0.9999999999999999,0.17552530529369553,SIPA148,Sri Sita Mahalaxmi Enterprises,55.2,32.0,500.0,Non-Exclusive,40.0,10.514285714285714,44.1092995169082,11.789953434683234,17.998689107048726,Tier 3,1667.0,1323.0,1323.0,0.0,52920.0
60,SIPA151,Arunodaya Steel Corporation,Vizianagaram,Non-Exclusive,Vizianagaram,0,0,0,0,0,0,80,40,50,87,0,87,100,777,777,700,200,50,100,100,100,80,80,30,HHHHLH,NNNANA,Low Achievement,80,0.006628003314001657,Emerging Performer,1470.0,36.82750000000001,0.0003731124942433452,0.002158631287117622,0.17370853001795092,0.01145144908748141,SIPA151,Arunodaya Steel Corporation,691.3,20.0,3000.0,Non-Exclusive,80.0,47.027210884353735,4.151598437726024,13.912421437116501,18.583214726685853,Tier 3,1667.0,1323.0,1323.0,0.0,105840.0
61,SIPA163,Sri Vijayalaxmi Enterprises,Vizianagaram,Exclusive,Kothavalasa,0,0,40,53,20,20,36,25,10,31,20,10,40,30,30,30,40,40,30,30,30,30,30,30,HLLHLL,ANNANN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer,315.0,0.0,2.2751331177741705e-06,0.0192286763560474,0.0,0.021376514631551304,SIPA163,Sri Vijayalaxmi Enterprises,99.8,33.0,200.0,Exclusive,25.0,31.682539682539684,22.286239144956575,10.7624545625746,17.25122850304401,Tier 3,1667.0,1323.0,1323.0,0.0,33080.0
62,SIPA164,Kamakshi Steels - (U),Guntur,Non-Exclusive,Undavalli,13,12,13,0,0,0,2,0,5,4,0,0,15,12,12,12,12,12,10,10,10,10,12,12,LLHHLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer,105.0,21.55916666666667,3.931218387223741e-05,0.021365433052439455,0.09804866697692972,0.007916751837381188,SIPA164,Kamakshi Steels - (U),3.0,3.0,100.0,Non-Exclusive,0.0,2.857142857142857,100.0,1.9331990250683173,21.731347986469565,Tier 2,1833.0,1611.0,1611.0,0.0,0.0
63,SIPA165,Om Vinayaka Hardware & Paints,Chittoor,Exclusive,Bangarupalem,0,11,20,20,14,10,14,10,11,15,0,0,20,10,12,20,20,20,15,15,20,20,24,15,HLLHLL,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer,63.0,16.830000000000002,0.000490250301824306,0.00018101666249537783,0.08379595771557741,0.005112634588595748,SIPA165,Om Vinayaka Hardware & Paints,5.9,15.0,60.0,Exclusive,15.0,9.365079365079366,100.0,5.404801226929033,25.115896609173294,Tier 2,1833.0,1611.0,1611.0,0.0,24160.0
64,SIPA167,MATURI STEEL & CEMENT,Krishna,Non-Exclusive,Machilipatnam,5,20,16,13,0,12,0,14,0,0,0,12,12,10,10,12,15,15,15,15,10,10,12,6,LHLLLH,NNNNNA,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer,420.0,11.326666666666666,0.00043802737311671413,0.0025619741241893804,0.06642676683731136,0.006795104937867012,SIPA167,Maturi Steel & Cement,27.0,9.0,300.0,Non-Exclusive,15.0,6.428571428571428,28.111111111111114,3.616297454420318,9.0777149805887,Tier 6,,,,,
65,SIPA173,Jai Vasavi Steel Syndicate (V),East Godavari,Non-Exclusive,Vaddigudem,0,0,0,25,25,30,0,31,28,27,33,0,30,25,25,30,30,30,25,25,25,25,30,22,LHHHHL,NAAAAN,Moderate Achievement,35,0.002899751449875725,Consistently Strong Performer,315.0,7.713055555555556,0.00029592603552816126,0.0021749389489938388,0.01833322252509807,0.005953869763231381,SIPA173,Jai Vasavi Steel Syndicate (V),45.9,19.0,1000.0,Non-Exclusive,35.0,14.571428571428571,36.269063180827885,8.03397357821334,14.988482497379295,Tier 4,1500.0,1110.0,1132.0,22.0,39620.0
66,SIPA174,Sai Venkata Lakshmi Steels,Guntur,Exclusive,Macherla,41,41,45,40,45,25,0,13,20,18,38,22,40,40,40,40,45,45,60,60,50,35,35,30,LLLLHH,NNNNAN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer,315.0,43.439166666666665,7.582013390163689e-05,0.005103390938305239,0.19346286816036168,0.026984749129122187,SIPA174,Sai Venkata Lakshmi Steels,102.3,28.0,260.0,Exclusive,30.0,32.476190476190474,28.37406321277288,14.071748793867519,20.613100014113183,Tier 3,1667.0,1323.0,1323.0,0.0,39690.0
67,SIPA184,Sri Satyanarayana Stores,Prakasam,Exclusive,Tangutur,0,12,12,13,13,0,16,15,13,11,13,11,12,10,12,12,12,12,15,15,10,10,12,12,HHHLHH,AAAAAN,High Achievement,15,0.0012427506213753107,Consistently Strong Performer,52.5,15.101666666666668,0.0002479957345517971,0.00265578295476269,0.07169569842430688,0.008023575351620633,SIPA184,Sri Satyanarayana Stores,18.0,11.0,50.0,Exclusive,15.0,34.285714285714285,64.49537037037038,5.576592968732006,23.102172712456138,Tier 2,1833.0,1611.0,1643.0,32.0,24640.0
