Dealer_Code,Dealer_Name,dealer_district,dealer_taluka,dealer_type,population,taluka_population,CS,Region,dealer_status,market_potential,Apr_2223_sales,May_2223_sales,Jun_2223_sales,Jul_2223_sales,Aug_2223_sales,Sep_2223_sales,Oct_2223_sales,Nov_2223_sales,Dec_2223_sales,Jan_2223_sales,Feb_2223_sales,Mar_2223_sales,Apr_2324_sales,May_2324_sales,Jun_2324_sales,Jul_2324_sales,Aug_2324_sales,Sep_2324_sales,Oct_2324_sales,Nov_2324_sales,Dec_2324_sales,Jan_2324_sales,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2425_sales,Mar_2425_sales,Apr_2223_Target,May_2223_Target,Jun_2223_Target,Jul_2223_Target,Aug_2223_Target,Sep_2223_Target,Oct_2223_Target,Nov_2223_Target,Dec_2223_Target,Jan_2223_Target,Feb_2223_Target,Mar_2223_Target,Apr_2324_Target,May_2324_Target,Jun_2324_Target,Jul_2324_Target,Aug_2324_Target,Sep_2324_Target,Oct_2324_Target,Nov_2324_Target,Dec_2324_Target,Jan_2324_Target,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Feb_2425_Target,Mar_2425_Target,Apr_2223_counter,May_2223_counter,Jun_2223_counter,Jul_2223_counter,Aug_2223_counter,Sep_2223_counter,Oct_2223_counter,Nov_2223_counter,Dec_2223_counter,Jan_2223_counter,Feb_2223_counter,Mar_2223_counter,Apr_2324_counter,May_2324_counter,Jun_2324_counter,Jul_2324_counter,Aug_2324_counter,Sep_2324_counter,Oct_2324_counter,Nov_2324_counter,Dec_2324_counter,Jan_2324_counter,Feb_2324_counter,Mar_2324_counter
SIPA265,RAMANA STEEL,Anantapur,PAMIDI,Non-Exclusive,6321948.0,82189.0,23.1,AP,Active,105.0,25.0,0.0,29.0,26.0,13.0,13.0,15.0,23.0,12.0,25.0,0.0,20.0,0.0,16.0,20.0,35.0,39.0,14.0,20.0,0.0,20.0,15.0,16.0,5.0,14.81,0.0,9.66,0.0,11.18,9.68,20.11,23.09,0.0,0.0,10.959999999999999,19.0,12.0,12.0,12.0,15.0,15.0,12.0,12.0,22.0,22.0,22.0,22.0,17.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,46.09032822,12.69371986,19.72757912,3.835200071,11.79732037,1.0,10.65017986,22.88632965,15.78528023,14.22467995,2.13815999,29.80800056,26.0,37.0,44.0,60.0,35.0,34.0,40.0,21.0,52.0,20.0,37.0,22.0
SIPA266,Dada And Co V Kota,Chittoor,V Kota,Non-Exclusive,6588204.0,101124.0,21.0,AP,Inactive,210.0,0.0,9.0,14.0,14.0,15.0,10.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,15.0,15.0,15.0,15.0,15.0,10.0,13.0,13.0,13.0,13.0,12.0,12.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.57336044,10.44717979,25.55789948,22.31991959,26.52099991,1.0,10.87903976,10.16734982,10.23243046,42.57711029,11.13547993,20.70447922,21.0,20.0,21.0,22.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0,20.0
SIPA270,SRI SRINIVASA STEELS (T),Guntur,THULLUR,Non-Exclusive,6629265.0,61875.0,6.300000000000001,AP,Active,94.5,19.0,8.0,13.0,13.0,13.0,14.0,0.0,12.0,14.0,28.0,16.0,0.0,15.0,16.0,12.0,15.0,13.0,12.0,13.0,14.0,13.0,13.0,26.0,23.0,12.99,26.58,9.92,12.0,10.419999999999998,11.98,10.45,9.27,20.39,12.15,11.72,15.36,17.0,17.0,17.0,12.0,12.0,12.0,14.0,19.0,19.0,15.0,15.0,34.0,18.0,22.0,15.0,15.0,15.0,15.0,15.0,12.0,15.0,15.0,15.0,12.0,12.0,15.0,20.0,20.0,20.0,20.0,10.0,10.0,15.0,15.0,15.0,14.65,36.93560028,19.25115967,23.38599968,23.6357193,17.48236084,1.0,20.35593033,39.52833176,17.51310921,19.29027939,46.13584137,29.88648033,0.0,0.0,1.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,40.0,6.0
SIPA271,Sri Kishore Traders,Nellore,UDAYAGIRI,Non-Exclusive,4538626.0,36378.0,13.65,AP,Active,63.0,12.0,0.0,13.0,13.0,0.0,11.0,13.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,14.0,11.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,12.49,11.59,0.0,11.55,12.09,0.0,12.01,0.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,26.99388695,8.58837986,24.03482056,20.52537918,10.04539967,1.0,8.917719841,6.496640205,6.938539982,5.17471981,6.929200172,20.09613037,19.0,18.0,28.0,25.0,15.0,35.0,17.0,12.0,14.0,15.0,10.0,13.0
SIPA273,VIZAG STEELS,Krishna,VIJAYAWADA,Non-Exclusive,6097627.0,141039.0,331.8,AP,Active,2100.0,12.0,29.0,26.0,16.0,26.0,0.0,25.0,0.0,20.0,0.0,7.0,21.0,20.0,0.0,24.0,16.0,0.0,0.0,21.0,20.0,0.0,19.0,0.0,48.0,71.32,25.35,32.14,2.75,21.42,28.91,0.0,20.58,0.0,28.66,19.96,30.619999999999997,25.0,25.0,25.0,25.0,25.0,25.0,25.0,29.0,29.0,20.0,20.0,20.0,20.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,30.0,35.0,30.0,20.0,20.0,35.0,35.0,35.0,22.0,22.0,22.0,43.31457138,14.97576046,14.88827991,23.23955917,8.597279549,1.0,25.55286026,5.816160202,5.141640186,24.60527992,7.581480026,28.12397957,26.0,316.0,307.0,312.0,313.0,305.0,316.0,320.0,306.0,325.0,313.0,316.0
SIPA274,M V STEEL TRADERS (C),Krishna,Challapalli,Non-Exclusive,6097627.0,70607.0,42.0,AP,Active,210.0,13.0,15.0,13.0,14.0,15.0,13.0,0.0,0.0,15.0,16.0,15.0,0.0,0.0,0.0,15.0,14.0,19.0,25.0,15.0,33.0,0.0,0.0,25.0,23.0,24.51,16.080000000000002,12.57,0.0,14.64,17.62,11.39,11.15,12.98,0.0,12.030000000000001,24.29,12.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,15.0,15.0,15.0,20.0,20.0,15.0,20.0,20.0,20.0,12.0,12.0,15.0,20.0,20.0,15.0,15.0,20.0,20.0,20.0,12.0,12.0,12.0,35.06219101,8.377200127,7.670340061,15.15252018,8.001119614,1.0,12.22873974,2.398679972,4.359360218,6.325560093,13.40952015,28.8803997,17.0,29.0,29.0,44.0,45.0,28.0,35.0,57.0,25.0,39.0,34.0,40.0
SIPA275,KHAJA BANDE NAWAZ TRADERS,Kurnool,ORVAKAL,Exclusive,6203936.0,63306.0,10.5,AP,Active,42.0,26.0,5.0,27.0,22.0,20.0,20.0,21.0,7.0,20.0,37.0,20.0,33.0,20.0,26.0,25.0,27.0,26.0,25.0,0.0,26.0,26.0,8.0,0.0,0.0,20.67,12.37,0.0,0.0,0.0,16.07,11.95,13.12,12.46,12.22,12.8,0.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,33.0,33.0,33.0,33.0,20.0,20.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.0,20.0,20.0,20.0,20.0,15.0,15.0,10.0,10.0,12.0,12.0,12.0,12.0,119.2770386,177.5789337,133.0763245,111.3631973,157.2940674,1.0,92.05529785,164.1106262,48.84075928,73.37023926,167.5101166,252.7739563,42.0,6.0,32.0,26.0,26.0,3.0,4.0,19.0,7.0,0.0,12.0,10.0
SIPA276,NAGA SAI STEEL CORPORATION,Guntur,PIDUGURALLA,Non-Exclusive,6629265.0,59216.0,33.6,AP,Active,147.0,30.0,32.0,27.0,16.0,33.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,16.0,0.0,12.0,18.0,0.0,0.0,0.0,5.0,0.0,23.340000000000003,0.0,0.0,15.21,10.61,9.65,11.34,7.82,6.14,0.0,12.73,11.700000000000001,25.0,25.0,25.0,25.0,25.0,20.0,18.0,20.0,20.0,0.0,10.0,10.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,10.0,12.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,11.912500000000001,52.85520935,64.25003815,54.06132126,38.42023849,11.27943993,1.0,49.3555603,11.01856041,11.0067997,13.70493984,11.00716019,25.61816025,21.0,27.0,27.0,24.0,21.0,35.0,22.0,21.0,20.0,21.0,27.0,32.0
SIPA278,SRI MUTHUMARIYAMMAN TRADERS,Chittoor,PAKALA,Non-Exclusive,6588204.0,78232.0,30.450000000000003,AP,Active,63.0,10.0,10.0,14.0,20.0,10.0,0.0,16.0,0.0,14.0,12.0,10.0,9.0,0.0,12.0,0.0,10.0,9.0,10.0,12.0,11.0,0.0,15.0,0.0,11.0,0.0,10.4,11.86,12.31,11.93,9.97,10.44,10.18,0.0,8.98,0.0,10.18,12.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,12.0,15.0,15.0,12.0,10.0,10.0,10.0,10.0,10.0,20.0,12.0,12.0,5.0,10.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,33.46334076,40.05192947,47.88808823,61.50505829,61.24177933,1.0,49.61172104,38.17322159,55.56555939,53.79362106,46.79771042,24.88168907,24.0,27.0,37.0,27.0,28.0,32.0,28.0,27.0,35.0,29.0,36.0,29.0
SIPA281,Maha Ganapathi Steels,Guntur,Narasaraopet,Non-Exclusive,6629265.0,95698.0,79.8,AP,Active,682.5,0.0,12.0,12.0,21.0,14.0,14.0,14.0,0.0,14.0,46.0,21.0,39.0,26.0,26.0,0.0,25.0,0.0,13.0,20.0,20.0,0.0,12.0,0.0,13.0,19.93,0.0,19.89,0.0,25.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,22.0,22.0,22.0,17.0,22.0,26.0,26.0,20.0,20.0,20.0,25.0,30.0,25.0,25.0,25.0,25.0,20.0,20.0,20.0,20.0,25.0,12.0,12.0,20.0,25.0,25.0,15.0,15.0,20.0,20.0,24.0,10.0,10.0,0.0,17.02264023,46.04758835,51.56296921,49.21659851,52.54191971,1.0,83.78848267,51.54827881,43.09204102,47.02196121,62.86347961,139.0960388,61.0,66.0,78.0,86.0,75.0,68.0,72.0,69.0,83.0,81.0,73.0,76.0
