Dealer_Code,Dealer_Name,dealer_district,dealer_taluka,dealer_type,population,taluka_population,CS,Region,dealer_status,market_potential,Apr_2223_sales,May_2223_sales,Jun_2223_sales,Jul_2223_sales,Aug_2223_sales,Sep_2223_sales,Oct_2223_sales,Nov_2223_sales,Dec_2223_sales,Jan_2223_sales,Feb_2223_sales,Mar_2223_sales,Apr_2324_sales,May_2324_sales,Jun_2324_sales,Jul_2324_sales,Aug_2324_sales,Sep_2324_sales,Oct_2324_sales,Nov_2324_sales,Dec_2324_sales,Jan_2324_sales,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2425_sales,Mar_2425_sales,Apr_2223_Target,May_2223_Target,Jun_2223_Target,Jul_2223_Target,Aug_2223_Target,Sep_2223_Target,Oct_2223_Target,Nov_2223_Target,Dec_2223_Target,Jan_2223_Target,Feb_2223_Target,Mar_2223_Target,Apr_2324_Target,May_2324_Target,Jun_2324_Target,Jul_2324_Target,Aug_2324_Target,Sep_2324_Target,Oct_2324_Target,Nov_2324_Target,Dec_2324_Target,Jan_2324_Target,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Feb_2425_Target,Mar_2425_Target,Apr_2223_counter,May_2223_counter,Jun_2223_counter,Jul_2223_counter,Aug_2223_counter,Sep_2223_counter,Oct_2223_counter,Nov_2223_counter,Dec_2223_counter,Jan_2223_counter,Feb_2223_counter,Mar_2223_counter,Apr_2324_counter,May_2324_counter,Jun_2324_counter,Jul_2324_counter,Aug_2324_counter,Sep_2324_counter,Oct_2324_counter,Nov_2324_counter,Dec_2324_counter,Jan_2324_counter,Feb_2324_counter,Mar_2324_counter
SIPA001,,Anantapur,Anantapur,Non-Exclusive,6321948.0,127019.0,945.0,,,,278.0,265.0,147.0,192.0,257.0,258.0,0.0,256.0,0.0,315.0,301.0,323.0,0.0,56.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,250.0,250.0,250.0,250.0,250.0,250.0,250.0,264.0,264.0,264.0,264.0,280.0,270.0,330.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,92.1456604,53.76922989,46.01446152,28.34822083,23.50383949,1.0,32.85155869,44.86389923,36.94231033,24.7903595,36.34738922,59.45743942,1136.0,1037.0,981.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
SIPA006,Sri Vigneswara Traders,Anantapur,Hindupur,Non-Exclusive,6321948.0,51861.0,141.75,AP,Active,682.5,93.0,91.0,101.0,102.0,82.0,101.0,30.0,75.0,21.0,64.0,62.0,82.0,50.0,90.0,100.0,101.0,93.0,62.0,81.0,68.0,20.0,0.0,0.0,0.0,31.200000000000003,0.0,0.0,29.94,0.0,0.0,49.78999999999999,54.89,51.620000000000005,52.540000000000006,50.93999999999999,102.18,90.0,90.0,100.0,100.0,80.0,100.0,100.0,103.0,103.0,103.0,103.0,140.0,100.0,90.0,100.0,110.0,110.0,110.0,110.0,110.0,150.0,120.0,100.0,0.0,0.0,90.0,90.0,90.0,65.0,65.0,50.0,50.0,50.0,50.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,42.90570068,52.62294006,79.0,128.0,146.0,69.0,150.0,66.0,106.0,59.0,248.0,91.0,84.0,135.0
SIPA008,K.K.Traders,Anantapur,Kadiri,Non-Exclusive,6321948.0,35944.0,45.15,AP,Active,231.0,24.0,33.0,35.0,24.0,25.0,26.0,25.0,37.0,25.0,24.0,25.0,25.0,25.0,48.0,36.0,36.0,50.0,35.0,36.0,35.0,37.0,21.0,46.0,24.0,24.83,25.43,25.23,25.55,45.89,40.46,25.66,40.7,32.69,44.82,10.02,25.12,35.0,25.0,30.0,25.0,25.0,25.0,25.0,34.0,34.0,34.0,34.0,35.0,30.0,36.0,35.0,35.0,35.0,35.0,35.0,35.0,50.0,40.0,40.0,25.0,30.0,30.0,30.0,30.0,40.0,40.0,50.0,50.0,50.0,30.0,35.0,35.0,0.0,0.0,11.13138962,4.172790051,15.2714901,1.0,8.537699699,17.48263931,19.36314964,19.36564064,0.0,46.2282486,62.0,54.0,101.0,77.0,76.0,76.0,79.0,71.0,82.0,56.0,48.0,43.0
SIPA010,Sri Jayanthi Iron Mart,Anantapur,Rayadurg,Non-Exclusive,6321948.0,40942.0,55.650000000000006,AP,Active,189.0,21.0,20.0,20.0,20.0,20.0,20.0,21.0,25.0,0.0,45.0,21.0,26.0,25.0,41.0,55.0,30.0,21.0,19.0,25.0,30.0,30.0,0.0,15.0,0.0,30.01,0.0,19.48,9.73,0.0,27.17,15.590000000000002,9.04,20.300000000000004,0.0,9.82,10.36,20.0,20.0,20.0,20.0,20.0,20.0,20.0,26.0,26.0,26.0,26.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,25.0,30.0,30.0,25.0,25.0,20.0,20.0,24.0,15.0,20.0,20.0,45.94971848,53.3675499,50.60654831,38.20441818,48.43635178,1.0,43.41374969,47.69776917,40.83916855,50.76411819,46.8871994,51.92737961,71.0,72.0,73.0,65.0,61.0,59.0,64.0,46.0,68.0,44.0,46.0,53.0
SIPA013,Srinivasa Iron Company,Anantapur,Tadipatri,Non-Exclusive,6321948.0,,178.5,AP,Active,315.0,57.0,62.0,40.0,61.0,42.0,38.0,62.0,45.0,47.0,70.0,66.0,63.0,22.0,78.0,73.0,76.0,76.0,50.0,50.0,60.0,26.0,30.0,31.0,30.0,52.63,22.07,25.08,20.15,44.35,56.41,0.0,30.66,19.12,19.8,32.44,31.560000000000002,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,75.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,60.0,90.0,60.0,60.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.0,25.0,25.0,107.4395218,67.55206299,46.95449066,70.6776123,67.87502289,1.0,72.10272217,57.07682037,64.12615967,75.80449677,77.13349915,267.3259583,233.0,228.0,223.0,233.0,208.0,192.0,202.0,209.0,174.0,199.0,180.0,170.0
SIPA015,Venkateshwara Hardware,Chittoor,Chittoor,Exclusive,6588204.0,59060.0,1.05,AP,Active,735.0,81.0,92.0,61.0,64.0,33.0,60.0,51.0,51.0,60.0,45.0,45.0,50.0,21.0,62.0,25.0,31.0,92.0,50.0,54.0,44.0,20.0,11.0,0.0,0.0,0.0,0.0,25.48,19.06,39.34,64.65,49.93,52.37,51.7,10.14,45.440000000000005,59.190000000000005,90.0,90.0,75.0,65.0,60.0,60.0,50.0,76.0,76.0,76.0,76.0,50.0,55.0,60.0,50.0,50.0,50.0,40.0,40.0,40.0,60.0,50.0,40.0,0.0,0.0,0.0,15.0,25.0,40.0,40.0,50.0,50.0,50.0,35.0,35.0,40.0,138.6428375,93.96073151,114.4686432,106.4691925,65.1886673,1.0,80.36118317,102.4101791,74.64251709,69.96652985,84.91519165,43.80667114,27.0,49.0,20.0,31.0,104.0,52.0,40.0,41.0,70.0,32.0,8.0,1.0
SIPA017,Hari Hara Steels & Cements,Chittoor,Madanapally,Non-Exclusive,6588204.0,97284.0,71.4,AP,Active,682.5,41.0,43.0,41.0,19.0,41.0,41.0,41.0,41.0,0.0,30.0,9.0,41.0,0.0,46.0,39.0,26.0,26.0,26.0,5.0,40.0,21.0,0.0,30.0,34.0,24.980000000000004,29.37,15.259999999999998,11.85,29.98,30.22,0.0,19.960000000000004,20.36,17.840000000000007,16.179999999999993,34.51,40.0,40.0,40.0,40.0,40.0,40.0,40.0,47.0,47.0,47.0,47.0,63.0,45.0,48.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,30.0,30.0,33.0,33.0,58.34449005,20.87870026,39.90433884,57.01103973,15.48468971,1.0,20.50519943,45.98210144,15.00564003,35.51305008,19.20759964,40.11820984,46.0,64.0,89.0,70.0,81.0,52.0,44.0,84.0,54.0,43.0,64.0,68.0
SIPA018,Hari Hara Enterprises,Chittoor,Madanapally,Exclusive,6588204.0,97284.0,38.85,AP,Active,682.5,45.0,40.0,38.0,40.0,47.0,40.0,40.0,0.0,0.0,41.0,41.0,41.0,43.0,40.0,10.0,49.0,49.0,0.0,48.0,5.0,50.0,21.0,15.0,33.0,36.03,14.99,32.67,30.36,15.470000000000002,31.55,29.86,0.0,14.06,29.74,29.96,30.19,40.0,40.0,40.0,40.0,40.0,40.0,40.0,52.0,52.0,52.0,52.0,61.0,45.0,48.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,25.0,30.0,35.0,30.0,30.0,30.0,30.0,35.0,35.0,30.0,30.0,30.0,30.0,62.66505814,67.49468994,56.69675064,55.07389069,67.07524872,1.0,66.27889252,69.7276001,41.37496185,44.98973083,39.5409584,60.6006813,45.0,52.0,20.0,53.0,50.0,18.0,54.0,27.0,16.0,27.0,24.0,37.0
SIPA019,IKS Agencies,Chittoor,Nagari,Exclusive,6588204.0,33899.0,12.6,AP,Active,210.0,75.0,76.0,62.0,60.0,61.0,60.0,87.0,50.0,60.0,21.0,46.0,61.0,50.0,50.0,20.0,61.0,61.0,19.0,20.0,56.0,21.0,16.0,20.0,31.0,61.31,20.189999999999998,20.51,45.5,41.09,25.17,90.67,17.85,20.08,32.04,40.18,109.83999999999999,65.0,60.0,60.0,60.0,60.0,60.0,60.0,86.0,86.0,86.0,86.0,70.0,60.0,70.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,40.0,40.0,25.0,30.0,40.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,0.0,0.0,0.0,0.282840014,4.63740015,1.0,8.410499573,1.164299965,5.804999828,34.87200165,20.60814095,71.01429749,96.0,9.0,48.0,38.0,71.0,40.0,28.0,12.0,60.0,19.0,15.0,12.0
SIPA020,Bismilla Traders,Chittoor,Palamner,Exclusive,6588204.0,30307.0,16.8,AP,Active,210.0,45.0,26.0,27.0,44.0,50.0,46.0,50.0,56.0,29.0,58.0,45.0,43.0,41.0,41.0,39.0,26.0,0.0,41.0,20.0,33.0,0.0,25.0,20.0,40.0,40.43000000000001,39.52,14.970000000000002,20.18,30.78,30.0,40.47,30.76,30.26,30.04,29.92,30.209999999999997,20.0,25.0,25.0,25.0,25.0,30.0,30.0,51.0,51.0,51.0,51.0,50.0,40.0,48.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,20.0,30.0,30.0,30.0,30.0,89.12011719,32.56373978,43.46977997,27.91428947,78.16811371,1.0,44.46183014,66.80454254,8.470789909,85.99318695,35.50498962,37.77537918,41.0,19.0,41.0,24.0,15.0,43.0,24.0,6.0,16.0,12.0,32.0,16.0
SIPA021,Sri Vasavi Hardware,Chittoor,Piler,Non-Exclusive,6588204.0,73016.0,53.55,AP,Active,157.5,27.0,0.0,32.0,31.0,0.0,29.0,30.0,0.0,43.0,0.0,0.0,35.0,0.0,33.0,30.0,30.0,0.0,31.0,0.0,0.0,19.0,0.0,30.0,21.0,0.0,0.0,0.0,0.0,29.39,20.17,26.77,0.0,24.86,0.0,0.0,0.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,30.0,30.0,40.0,30.0,30.0,30.0,30.0,30.0,30.0,40.0,30.0,30.0,15.0,20.0,20.0,25.0,25.0,18.0,18.0,20.0,20.0,24.0,12.0,12.0,12.0,55.96622086,32.65198898,33.49813843,33.56771851,36.84159851,1.0,30.63570023,35.1103096,16.18227959,36.19712067,21.18457031,62.06264877,63.0,42.0,74.0,67.0,57.0,69.0,44.0,41.0,50.0,43.0,44.0,51.0
SIPA023,Sri S.R.Agencies,Chittoor,Punganur,Non-Exclusive,6588204.0,54956.0,52.5,AP,Active,262.5,45.0,42.0,42.0,50.0,42.0,43.0,45.0,40.0,41.0,40.0,21.0,45.0,24.0,25.0,30.0,20.0,20.0,20.0,39.0,40.0,20.0,21.0,32.0,34.0,20.1,24.87,24.35,32.42,20.11,41.95,35.5,24.9,19.96,9.9,33.68000000000001,30.299999999999997,32.0,40.0,40.0,40.0,40.0,40.0,40.0,55.0,55.0,55.0,55.0,45.0,50.0,55.0,50.0,50.0,40.0,40.0,40.0,40.0,50.0,40.0,40.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,30.0,30.0,30.0,30.0,64.74597168,124.5335083,120.9968567,158.9997253,132.313385,1.0,122.6221924,138.2438354,110.6484299,137.5057068,128.8164063,66.65193176,56.0,78.0,73.0,50.0,70.0,75.0,55.0,60.0,90.0,51.0,64.0,50.0
SIPA024,Hari Priya Traders,Chittoor,Puttur,Exclusive,6588204.0,25074.0,6.300000000000001,AP,Active,157.5,29.0,34.0,31.0,32.0,31.0,31.0,32.0,32.0,30.0,30.0,30.0,40.0,0.0,19.0,30.0,30.0,31.0,0.0,30.0,21.0,30.0,0.0,15.0,0.0,38.46,0.0,9.63,0.0,25.43,25.43,0.0,21.06,11.639999999999995,13.93,20.08,14.700000000000006,30.0,30.0,25.0,30.0,30.0,30.0,30.0,39.0,39.0,39.0,39.0,40.0,35.0,40.0,30.0,30.0,30.0,30.0,30.0,30.0,40.0,35.0,30.0,25.0,25.0,25.0,30.0,30.0,25.0,25.0,20.0,20.0,25.0,15.0,15.0,15.0,57.2061882,16.10495949,20.52762032,25.78218079,8.537320137,1.0,26.43864059,23.36618042,1.37985003,17.43795013,11.07380962,34.06744003,56.0,19.0,10.0,14.0,67.0,4.0,20.0,11.0,9.0,7.0,11.0,6.0
SIPA025,Mahesh Traders,Chittoor,Srikalahasti,Exclusive,6588204.0,57581.0,47.25,AP,Active,315.0,60.0,61.0,55.0,50.0,72.0,61.0,61.0,52.0,57.0,50.0,66.0,66.0,66.0,79.0,70.0,83.0,44.0,52.0,50.0,65.0,60.0,20.0,49.0,55.0,74.72999999999999,25.04,25.47,40.61,62.8,59.95,44.78,36.33,11.72,29.879999999999995,39.96,45.36,60.0,60.0,50.0,60.0,60.0,60.0,60.0,72.0,72.0,72.0,72.0,65.0,65.0,78.0,70.0,60.0,50.0,60.0,60.0,60.0,70.0,60.0,50.0,45.0,50.0,50.0,60.0,60.0,60.0,60.0,50.0,35.0,50.0,40.0,40.0,45.0,87.61048889,68.82498169,83.358078,53.95172882,35.54584122,1.0,59.29629135,75.08831787,40.02286148,66.79933167,116.5751266,50.19382095,90.0,73.0,70.0,66.0,78.0,49.0,51.0,32.0,70.0,16.0,43.0,45.0
SIPA026,Shree Lakshmi Venkateswara Steels,Chittoor,Tirupathi,Non-Exclusive,6588204.0,237195.0,292.95,AP,Active,2310.0,211.0,209.0,203.0,222.0,230.0,242.0,209.0,206.0,239.0,218.0,214.0,263.0,132.0,243.0,151.0,210.0,194.0,209.0,258.0,215.0,121.0,91.0,121.0,229.0,172.85,52.03,136.86,107.33000000000004,132.14,192.06,220.94,157.91,0.0,54.73,132.45,190.58000000000004,170.0,170.0,170.0,190.0,190.0,190.0,190.0,251.0,251.0,251.0,251.0,250.0,230.0,288.0,250.0,250.0,250.0,250.0,250.0,225.0,250.0,150.0,150.0,150.0,170.0,200.0,150.0,130.0,210.0,210.0,200.0,110.0,150.0,30.0,40.0,45.0,601.3029175,269.5686646,295.4604797,342.8965149,264.180542,1.0,165.990387,267.7977905,177.1272125,350.3599854,266.2104187,463.7407227,484.0,439.0,409.0,354.0,511.0,389.0,464.0,302.0,312.0,340.0,457.0,279.0
SIPA028,Shree Venkateswara Steels,Chittoor,Tirupathi,Non-Exclusive,6588204.0,237195.0,40.95,AP,Active,2310.0,30.0,38.0,31.0,56.0,32.0,31.0,30.0,37.0,0.0,31.0,31.0,30.0,35.0,30.0,31.0,32.0,31.0,30.0,31.0,5.0,0.0,0.0,0.0,0.0,32.349999999999994,0.0,0.0,0.0,14.580000000000002,0.0,23.4,0.0,16.85,24.04,0.0,15.46,30.0,30.0,30.0,30.0,30.0,30.0,30.0,44.0,44.0,44.0,44.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,20.0,25.0,25.0,20.0,20.0,25.0,12.0,15.0,15.0,64.47769928,34.76651001,46.5866394,51.75173187,40.63790131,1.0,38.05488968,47.32162094,10.72239971,26.33581924,38.31544113,57.899189,74.0,58.0,78.0,66.0,54.0,48.0,69.0,41.0,47.0,44.0,54.0,39.0
SIPA030,Sri Satyanaryana Iron & Hardware Mart,Cuddapah,Badvel,Exclusive,4111686.0,21317.0,159.6,AP,Active,472.5,61.0,58.0,70.0,79.0,89.0,63.0,87.0,61.0,86.0,85.0,60.0,84.0,13.0,75.0,105.0,76.0,82.0,81.0,57.0,84.0,86.0,40.0,77.0,101.0,86.5,25.000000000000004,28.57,47.89,80.62,79.16,59.74,52.57,62.62,60.09,64.49000000000001,84.85,60.0,60.0,60.0,60.0,60.0,60.0,60.0,91.0,91.0,91.0,91.0,75.0,60.0,70.0,60.0,75.0,75.0,75.0,75.0,75.0,100.0,75.0,75.0,75.0,75.0,75.0,80.0,80.0,80.0,80.0,50.0,50.0,75.0,60.0,60.0,60.0,139.8598938,13.19456005,64.35476685,60.08602142,144.0608826,1.0,75.84883881,65.41670227,52.8022995,133.1500244,69.0932312,71.40363312,80.0,18.0,112.0,77.0,19.0,77.0,31.0,38.0,9.0,20.0,39.0,152.0
SIPA031,Vadlaputi Iron & Steel Traders,Cuddapah,Cuddapah,Non-Exclusive,4111686.0,,282.45,AP,Active,1575.0,182.0,219.0,203.0,206.0,222.0,201.0,183.0,167.0,171.0,182.0,182.0,203.0,183.0,205.0,209.0,226.0,175.0,156.0,162.0,181.0,136.0,51.0,146.0,149.0,174.84000000000003,100.3,145.04000000000002,85.89,137.19,136.09,108.13,111.63999999999996,50.68999999999999,79.37,100.2,75.32,180.0,180.0,180.0,180.0,180.0,180.0,180.0,233.0,233.0,233.0,233.0,220.0,200.0,240.0,220.0,220.0,220.0,200.0,200.0,200.0,220.0,200.0,180.0,130.0,170.0,170.0,190.0,175.0,200.0,200.0,200.0,110.0,150.0,130.0,130.0,130.0,364.1472778,253.2169189,216.8721466,272.2704468,262.2129517,1.0,177.1802673,185.5835571,179.5627441,167.0986938,220.3552094,326.5331116,287.0,413.0,360.0,360.0,322.0,258.0,312.0,318.0,306.0,299.0,255.0,269.0
SIPA032,Bharathi Steels Cement & Paints,Cuddapah,Cuddapah,Exclusive,4111686.0,,190.05,AP,Active,1575.0,107.0,119.0,113.0,130.0,117.0,136.0,127.0,102.0,110.0,128.0,103.0,148.0,101.0,102.0,107.0,158.0,110.0,116.0,112.0,117.0,116.0,55.0,100.0,104.0,118.14,89.97,30.67,26.52,96.34,121.02,114.89,118.9,91.2,110.23,118.32,80.35999999999999,90.0,90.0,90.0,100.0,50.0,100.0,100.0,140.0,140.0,140.0,140.0,130.0,110.0,120.0,110.0,120.0,110.0,110.0,110.0,110.0,180.0,150.0,150.0,130.0,130.0,130.0,150.0,150.0,130.0,130.0,110.0,110.0,120.0,120.0,120.0,75.0,176.704422,113.2683182,126.4282074,140.9512482,110.0800171,1.0,227.9951935,143.962204,94.48001099,113.8716431,81.47676086,185.0063477,179.0,128.0,113.0,150.0,88.0,119.0,63.0,103.0,53.0,46.0,76.0,181.0
SIPA035,Pattupogula Steels,Cuddapah,Mydukur,Exclusive,4111686.0,105862.0,29.4,AP,Active,168.0,37.0,35.0,20.0,20.0,47.0,39.0,35.0,0.0,33.0,32.0,34.0,12.0,36.0,42.0,26.0,33.0,40.0,34.0,35.0,0.0,36.0,0.0,25.0,31.0,38.81,11.32,24.89,12.77,24.57,11.22,23.62,36.98,26.14,16.020000000000003,20.0,20.14,35.0,35.0,30.0,35.0,35.0,40.0,35.0,49.0,49.0,49.0,49.0,64.0,35.0,42.0,35.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,35.0,30.0,30.0,35.0,35.0,30.0,20.0,20.0,20.0,58.70941925,23.94634056,50.12445831,32.77621841,59.97462845,1.0,45.12874985,23.39912987,11.57104015,60.03675842,48.79399109,15.99046993,34.0,2.0,61.0,30.0,37.0,30.0,7.0,3.0,44.0,21.0,21.0,28.0
SIPA036,S.R.Steels & Paints,Cuddapah,Porumamila,Exclusive,4111686.0,,1.05,AP,Active,157.5,36.0,35.0,22.0,34.0,39.0,23.0,45.0,20.0,22.0,41.0,33.0,21.0,0.0,45.0,0.0,42.0,0.0,21.0,0.0,44.0,0.0,0.0,21.0,0.0,28.7,21.86,19.83,0.0,0.0,0.0,0.0,12.23,11.64,11.82,0.0,12.93,40.0,35.0,35.0,35.0,35.0,40.0,40.0,57.0,57.0,57.0,57.0,40.0,40.0,48.0,42.0,42.0,42.0,42.0,42.0,42.0,40.0,40.0,30.0,15.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.0,12.0,12.0,12.0,78.34426117,1.451400042,56.10319138,44.6375618,15.98915958,1.0,45.58917999,32.25986862,21.49683952,57.55480957,55.21755981,21.36613083,22.0,3.0,33.0,14.0,2.0,1.0,6.0,3.0,3.0,3.0,10.0,1.0
SIPA037,Sri Kanaka Durga Steels,Cuddapah,Proddatur,Non-Exclusive,4111686.0,96162.0,311.85,AP,Active,735.0,110.0,131.0,125.0,134.0,111.0,129.0,102.0,83.0,112.0,102.0,102.0,152.0,112.0,116.0,135.0,122.0,182.0,145.0,152.0,152.0,92.0,62.0,107.0,110.0,114.75,91.73999999999997,89.49000000000001,70.55,100.78000000000002,31.160000000000004,116.91,95.5,71.364,50.15,101.28999999999999,108.19999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,145.0,145.0,145.0,145.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,130.0,160.0,150.0,130.0,95.0,120.0,120.0,150.0,150.0,150.0,150.0,110.0,110.0,125.0,100.0,100.0,100.0,192.5772247,166.8542175,164.3463135,146.4403992,153.6977234,1.0,100.6128235,122.4325333,118.87883,123.5879364,128.5110474,218.228241,191.0,189.0,191.0,189.0,225.0,210.0,140.0,170.0,169.0,194.0,152.0,297.0
SIPA039,Sri Ganesh Iron & Hardware Marchant,Cuddapah,Pulivendula,Non-Exclusive,4111686.0,13178.0,108.15,AP,Active,630.0,68.0,59.0,48.0,74.0,67.0,50.0,63.0,50.0,50.0,62.0,43.0,51.0,50.0,44.0,61.0,50.0,58.0,46.0,58.0,56.0,82.0,55.0,52.0,45.0,48.3,39.47,40.55,30.74,57.88000000000001,60.73,45.81,25.27,64.86,25.3,28.099999999999998,12.599999999999998,60.0,60.0,60.0,70.0,70.0,60.0,60.0,77.0,77.0,55.0,55.0,77.0,55.0,65.0,55.0,55.0,55.0,55.0,55.0,55.0,80.0,70.0,50.0,50.0,50.0,50.0,55.0,55.0,60.0,60.0,50.0,50.0,75.0,50.0,50.0,50.0,136.813797,83.25720978,107.04776,94.16603851,113.877121,1.0,57.43394852,81.45014191,38.77338028,84.73374939,113.3812332,116.9259567,129.0,109.0,160.0,151.0,144.0,158.0,118.0,100.0,137.0,101.0,158.0,103.0
SIPA040,Sri Balaji Traders,Cuddapah,Rajampet,Exclusive,4111686.0,56651.0,77.7,AP,Active,420.0,56.0,61.0,79.0,63.0,110.0,61.0,61.0,50.0,60.0,49.0,51.0,74.0,19.0,61.0,60.0,74.0,89.0,58.0,69.0,72.0,76.0,21.0,25.0,77.0,50.66,23.950000000000003,49.67,8.830000000000002,72.1,75.05,50.81,29.06,49.5,11.84,52.96000000000001,63.14,50.0,50.0,50.0,60.0,60.0,60.0,60.0,88.0,88.0,88.0,88.0,60.0,60.0,60.0,60.0,60.0,60.0,65.0,65.0,65.0,90.0,75.0,65.0,60.0,60.0,75.0,70.0,60.0,70.0,70.0,50.0,50.0,60.0,50.0,50.0,50.0,101.4173889,53.32619858,73.94210815,79.15390015,117.6647186,1.0,69.15383911,81.13529968,31.96623039,58.77651978,48.63666916,75.89446259,74.0,51.0,79.0,80.0,160.0,33.0,70.0,66.0,79.0,25.0,41.0,74.0
SIPA041,,Cuddapah,Rayachoti,Non-Exclusive,4111686.0,33331.0,,,,682.5,76.0,106.0,112.0,113.0,108.0,108.0,119.0,83.0,102.0,93.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,75.0,70.0,80.0,90.0,90.0,90.0,90.0,127.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIPA042,,Cuddapah,Rly.Kodur,Non-Exclusive,4111686.0,20471.0,21.0,,,210.0,44.0,20.0,20.0,40.0,20.0,31.0,31.0,19.0,30.0,0.0,32.0,41.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,40.0,40.0,30.0,30.0,30.0,30.0,30.0,37.0,37.0,37.0,37.0,37.0,35.0,42.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,64.99378204,6.278480053,78.18573761,19.91091919,11.50467968,1.0,14.9105196,35.31351852,25.30167961,14.48157978,46.58980179,60.77270126,49.0,24.0,59.0,32.0,27.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
SIPA043,Ashoka Hardwares,Cuddapah,Vempally,Non-Exclusive,4111686.0,97375.0,29.4,AP,Active,136.5,29.0,20.0,41.0,45.0,20.0,33.0,47.0,23.0,20.0,57.0,21.0,38.0,20.0,43.0,40.0,32.0,41.0,39.0,34.0,41.0,53.0,0.0,33.0,35.0,20.32,35.62,9.69,20.37,30.700000000000003,30.520000000000003,4.43,30.5,12.08,7.84,0.0,20.02,20.0,20.0,20.0,20.0,20.0,20.0,20.0,42.0,42.0,42.0,42.0,30.0,30.0,24.0,25.0,30.0,30.0,30.0,30.0,30.0,40.0,40.0,40.0,35.0,35.0,35.0,35.0,30.0,35.0,35.0,35.0,35.0,30.0,20.0,20.0,20.0,53.02999878,26.51262093,66.90963745,49.08958054,21.85099983,1.0,72.62355804,40.76174927,45.13111877,89.4972229,44.61283112,60.68806076,66.0,23.0,64.0,26.0,51.0,23.0,32.0,31.0,24.0,24.0,26.0,28.0
SIPA044,Jai Vasavi Steel Syndicate,East Godavari,Amalapuram,Exclusive,8274560.0,88462.0,372.75,AP,Active,735.0,61.0,100.0,108.0,20.0,103.0,0.0,102.0,86.0,85.0,52.0,31.0,86.0,85.0,82.0,91.0,61.0,88.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,53.18999999999998,80.68,0.0,0.0,72.61,91.63,0.0,63.44,30.65,67.31,60.59,26.02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,85.0,85.0,85.0,85.0,85.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,70.0,70.0,70.0,70.0,70.0,60.0,90.0,60.0,60.0,60.0,60.0,60.0,60.0,45.0,50.0,75.73750000000001,88.37325287,16.5508709,51.44483948,16.10070992,30.28723907,1.0,21.80612946,23.09037018,11.97657967,64.72653198,22.53562927,116.6749725,422.0,373.0,306.0,304.0,552.0,309.0,308.0,308.0,324.0,300.0,318.0,355.0
